event_id,event_class,item,form_type,ticker,company,cik,accession_no,filing_date,accepted_at_et,event_session,first_full_session,benchmark_entry_date,period_of_report,index_name,point_in_time,in_benchmark_run,items_in_filing,sic_code,state_of_inc,source_url,confidence,ticker_mapping,rule_version
4.02-0001031296-06-000252,item_4_02_restatement,4.02,8-K,FE,FIRSTENERGY CORP,1031296,0001031296-06-000252,2006-11-02,,unknown,,2006-11-03,2006-10-27,SP500,True,True,4.02,4911,OH,https://www.sec.gov/Archives/edgar/data/1031296/000103129606000252/,1.0,edgar_current,item_filter_v1
4.02-0001193125-06-227646,item_4_02_restatement,4.02,8-K,UNH,UNITEDHEALTH GROUP INC,731766,0001193125-06-227646,2006-11-08,2006-11-08T08:35:43,pre_market,2006-11-08,2006-11-09,2006-11-07,SP500,True,True,"4.02,5.02,8.01,9.01",6324,MN,https://www.sec.gov/Archives/edgar/data/731766/000119312506227646/,1.0,edgar_current,item_filter_v1
4.02-0001193125-06-240200,item_4_02_restatement,4.02,8-K,VRSN,VERISIGN INC/CA,1014473,0001193125-06-240200,2006-11-21,,unknown,,2006-11-22,2006-11-15,SP500,True,True,"4.02,9.01",7371,DE,https://www.sec.gov/Archives/edgar/data/1014473/000119312506240200/,1.0,edgar_current,item_filter_v1
4.02-0000897101-07-000052,item_4_02_restatement,4.02,8-K,GIS,GENERAL MILLS INC,40704,0000897101-07-000052,2007-01-05,2007-01-05T17:23:12,after_market,2007-01-08,2007-01-08,2007-01-04,SP500,True,True,4.02,2040,DE,https://www.sec.gov/Archives/edgar/data/40704/000089710107000052/,1.0,edgar_current,item_filter_v1
4.02-0001157523-07-000779,item_4_02_restatement,4.02,8-K,NYT,NEW YORK TIMES CO,71691,0001157523-07-000779,2007-01-31,2007-01-31T08:55:31,pre_market,2007-01-31,2007-02-01,2007-01-29,SP500,True,True,"2.02,4.02,9.01",2711,NY,https://www.sec.gov/Archives/edgar/data/71691/000115752307000779/,1.0,edgar_current,item_filter_v1
4.02-0001104659-07-015633,item_4_02_restatement,4.02,8-K,AON,AON CORP,315293,0001104659-07-015633,2007-03-01,2007-03-01T17:19:21,after_market,2007-03-02,2007-03-02,2007-02-26,SP500,True,True,4.02,6321,DE,https://www.sec.gov/Archives/edgar/data/315293/000110465907015633/,1.0,edgar_current,item_filter_v1
4.02-0001104659-07-020466,item_4_02_restatement,4.02,8-K,AES,AES CORP,874761,0001104659-07-020466,2007-03-19,2007-03-19T17:24:34,after_market,2007-03-20,2007-03-20,2007-03-19,SP500,True,True,"2.02,4.02,8.01",4991,DE,https://www.sec.gov/Archives/edgar/data/874761/000110465907020466/,1.0,edgar_current,item_filter_v1
4.02-0000950129-07-002289,item_4_02_restatement,4.02,8-K,SYY,SYSCO CORP,96021,0000950129-07-002289,2007-05-07,2007-05-07T08:15:48,pre_market,2007-05-07,2007-05-08,2007-05-03,SP500,True,True,"2.02,4.02,9.01",5140,DE,https://www.sec.gov/Archives/edgar/data/96021/000095012907002289/,1.0,edgar_current,item_filter_v1
4.02-0001038838-07-000384,item_4_02_restatement,4.02,8-K,CPWR,TETRIDYN SOLUTIONS INC,827099,0001038838-07-000384,2007-05-31,2007-05-31T17:12:39,after_market,2007-06-01,2007-06-01,2007-05-23,SP500,True,True,"4.02,9.01",6770,NV,https://www.sec.gov/Archives/edgar/data/827099/000103883807000384/,1.0,edgar_current,item_filter_v1
4.02-0001144204-07-059662,item_4_02_restatement,4.02,8-K,ODP,OFFICE DEPOT INC,800240,0001144204-07-059662,2007-11-09,2007-11-09T13:33:06,market_hours,2007-11-12,2007-11-12,2007-11-05,SP500,True,True,"1.01,4.02,9.01",5940,DE,https://www.sec.gov/Archives/edgar/data/800240/000114420407059662/,1.0,edgar_current,item_filter_v1
4.02-0001104659-07-086940,item_4_02_restatement,4.02,8-K,XEL,XCEL ENERGY INC,72903,0001104659-07-086940,2007-12-05,2007-12-05T06:02:26,pre_market,2007-12-05,2007-12-06,2007-12-04,SP500,True,True,4.02,4931,MN,https://www.sec.gov/Archives/edgar/data/72903/000110465907086940/,1.0,edgar_current,item_filter_v1
