horizon,trades,mean_return_pct,median_return_pct,win_rate_pct,benchmark_mean_return_pct,mean_abnormal_return_pct,abnormal_adj_ci_low_pct,abnormal_adj_ci_high_pct,placebo_mean_return_pct,mean_excess_vs_placebo_pct,ct_annualized_alpha_pct,ct_t_stat
0.1y,304,0.18,0.2,51.32,0.74,-0.56,-1.96,0.86,1.18,-1.0,-3.18,-0.9
1y,297,17.92,13.92,65.99,11.41,6.5,0.52,13.15,13.47,4.44,2.05,0.78
3y,276,37.81,29.01,67.75,24.44,13.37,4.22,23.7,39.41,-1.6,1.47,0.73
