horizon,trades,mean_return_pct,median_return_pct,win_rate_pct,benchmark_mean_return_pct,mean_abnormal_return_pct,abnormal_adj_ci_low_pct,abnormal_adj_ci_high_pct,placebo_mean_return_pct,mean_excess_vs_placebo_pct,ct_annualized_alpha_pct,ct_t_stat
0.1y,506,0.43,0.84,55.53,0.4,0.02,-0.97,1.0,1.22,-0.8,2.06,0.88
1y,499,19.66,13.97,69.54,12.06,7.6,3.64,11.86,14.56,5.1,4.84,2.58
3y,451,41.4,30.5,72.73,25.58,15.82,8.22,23.78,42.8,-1.4,4.02,2.33
5y,425,84.41,62.74,80.0,52.68,31.73,19.84,43.87,78.79,5.62,3.32,1.94
